MISSING_CANDIDATE	丘	く	9
	T	く	天ん邪鬼	あまんじゃく
	T	く	天之邪鬼	あまのじゃく
MISSING_CANDIDATE	魂	ごん	3
	T	ごん	反魂	はんごん
	T	ごん	反魂香	はんごんこう
	T	ごん	大反魂草	おおはんごんそう
MISSING_CANDIDATE	魂	だましい	5
	T	だましい	塊魂	かたまりだましい
	T	だましい	職人魂	しょくにんだましい
	T	だましい	負けじ魂	まけじだましい
	T	だましい	雑草魂	ざっそうだましい
	T	だましい	面魂	つらだましい
MISSING_CANDIDATE	魅	ひ	4
	T	ひ	心魅かれる	こころひかれる
	T	ひ	魅かれる	ひかれる
	T	ひ	魅きつける	ひきつける
	T	ひ	魅き付ける	ひきつける
MISSING_CANDIDATE	鯨	いさ	4
	T	いさ	鯨	いさ
	T	いさ	鯨魚	いさな
	T	いさ	鯨魚取	いさなとり
	T	いさ	鯨魚取り	いさなとり
MISSING_CANDIDATE	鯨	いさな	3
	T	いさな	鯨	いさな
	T	いさな	鯨取	いさなとり
	T	いさな	鯨取り	いさなとり
MISSING_CANDIDATE	鶏	げい	4
	T	げい	猿猴鶏頭	えんこうげいとう
	T	げい	紐鶏頭	ひもげいとう
	T	げい	葉鶏頭	はげいとう
	T	げい	青鶏頭	あおげいとう
MISSING_CANDIDATE	麗	らい	11
	T	らい	高麗	こうらい
	T	らい	高麗エビ	こうらいえび
	T	らい	高麗ニンジン	こうらいにんじん
	T	らい	高麗人	こうらいじん
	T	らい	高麗人参	こうらいにんじん
MISSING_CANDIDATE	麻	お	4
	T	お	真麻	まお
	T	お	麻	お
	T	お	麻幹	おがら
	T	お	麻幹花	おがらばな
